Accession	mock3	mock5	mock4	MappingConfidence
AF347031.1	84836	19511	32934	99.99
MH860044.1	111905	31783	80619	48.36
MN944491.1	44452	6623	9264	6.88
MK394004.1	70069	16991	2534	100
MH856435.1	29949	7689	14899	36.3
KU850565.1	62841	32030	27740	78.49
DQ885385.1	53780	29303	12302	99.92
KR873250.1	52	358	55	89.62
MW138779.1	27592	6680	5523	46.55
MH855943.1	73285	32556	56143	97.33
AY198300.3	270	26	12	95.17
MH856176.1	40188	25816	50698	35.72
JX499031.1	18466	15784	19970	98.8
JQ936290.1	646	243	364	22.64
MH866022.1	6379	44258	63743	99.76
LC228670.1	1715	333	464	5.49
MH854739.1	3554	1140	1784	11.33
MG865574.1	163	95	37	99.65
Z99672.1	1514	296	280	11.5
EU049205.1	323	45	111	26.85
MG865484.1	19	3	8	99.99
KU850546.1	332	211	156	6.57
KJ941072.1	3	1	1	17.48
HQ643546.1	5	1	0	100
KY611899.1	1	0	0	100
MW633475.1	81	89	55	65.52
MG865576.1	41	12	10	99.66
MH656752.1	139	50	207	29.99
KC287235.1	8	0	0	100
MG865523.1	46	7	8	76.96
HQ643444.1	33	9	9	99.88
HQ643721.2	13	10	3	100
MK894584.1	25	12	6	9.67
KC584238.1	14	13	16	6.05
MH730809.1	35	3	2	25.23
MG865599.1	5	4	0	100
HQ643692.1	7	80	0	99.93
KY883819.1	52	35	24	3.88
HQ643956.2	10	0	4	92.86
JN906978.1	9	92	21	55.01
MG865471.1	2	1	1	93.71
MN244198.1	1	1	2	0
MG865593.1	44	9	21	98.4
JN865210.1	1	15	4	45.87
HQ643396.2	5	3	11	29.27
HQ643443.2	21	9	3	100
MG865511.1	3	4	0	100
KU604037.1	2	0	0	0
MG865508.1	12	1	4	70.54
AY198246.3	17	4	3	98.51
HQ643670.1	22	258	2	99.72
AY743636.1	38	613	0	98.17
FJ430779.1	6	1	14	55.24
MN784447.1	3	1	0	99.82
AY198298.3	4	6	0	88.44
KM265189.1	9	3	2	0
GQ244428.2	4	1	0	60
MG865499.1	3	2	0	99.72
AY762619.1	8	8	13	41.9
MG865492.1	2	0	0	100
MH730805.1	18	1	2	22.74
MN450332.1	1	0	38	30.32
MK256970.1	4	0	38	61.43
MH730799.1	9	4	0	99
MT026405.1	5	0	0	99.92
HQ643767.1	1	2	1	100
HQ643681.2	7	6	2	96.82
KY970066.1	9	6	7	72.16
MW015778.1	3	80	0	99.92
EU040243.2	1	0	0	0
MW724098.1	6	0	0	29.74
HQ643945.1	3	6	0	100
KC584213.1	1	1	0	0
HQ643137.1	12	3	4	96.22
MG865520.1	8	2	2	82.71
MH730800.1	6	1	1	99.84
MN265834.1	7	0	0	100
MG865532.1	2	0	0	100
HQ643518.2	6	6	1	91.09
AY198301.3	1	0	0	100
MG865559.1	30	5	11	95.56
HQ643771.1	1	1	0	100
OM778769.1	4	23	1	99.56
OM337559.1	1	6	1	53.02
MW915648.1	1	2	5	85.4
DQ028268.1	2	0	1	19.16
HQ643427.1	1	2	0	100
MG783381.1	4	2	0	100
MG865518.1	2	0	0	100
JX089580.1	1	0	0	100
MN557838.1	1	1	0	87.44
MK314564.1	1	0	0	68.38
MG865575.1	4	2	1	100
KP330867.1	1	1	0	50
FJ427049.1	5	4	28	7.17
MH864418.1	1	91	0	96.69
HQ643773.2	6	1	4	42.98
KJ372262.1	1	0	0	100
AF141168.1	1	0	1	28.74
OL652617.1	2	1	7	68.86
AF141167.1	2	0	0	0
MW710688.1	5	0	1	41.69
MH858205.1	1	0	0	96.84
MW599272.1	2	0	0	60.28
AF486626.1	1	2	3	44.82
HQ643479.1	1	8	0	100
EU218892.1	1	0	0	99.21
AF250820.1	2	17	27	78.26
MG865580.1	1	0	1	100
AY211016.1	2	0	1	71.79
HQ643388.2	1	1	13	11.61
KJ131184.1	3	6	351	14.72
MH857619.1	1	0	0	20.57
HQ643434.1	1	0	0	100
AY198240.3	2	0	0	100
AY198293.3	1	0	0	100
KC584243.1	1	2	1	25
MG865586.1	2	0	0	100
KC584209.1	1	0	2	12.3
MG865548.1	3	1	0	100
MG783385.1	1	0	0	100
GU237761.1	1	1	1	0
AF178401.1	1	0	160	81.88
MG865566.1	1	0	0	100
KY995559.1	1	6	0	84.06
MG865527.1	1	0	0	100
HQ643429.1	1	11	0	99.58
MG865578.1	1	1	0	50
EU049216.1	0	15994	5095	99.98
AY143557.1	0	1307	0	88.43
LT964730.1	0	638	0	53.91
KM235691.1	0	112	0	68.64
HQ643752.1	0	9	0	99.99
HQ643707.1	0	1	0	100
KX982704.1	0	1	229	4.72
EF010926.1	0	1	0	49.88
FJ266483.1	0	7	1	4.61
KJ707094.1	0	9	0	9.14
MH859854.1	0	9	0	21.88
U34556.1	0	17	2	39.18
KJ707164.1	0	24	5	71.94
AB208109.1	0	3	15	90.11
EU040211.1	0	5	5	82.1
EU167595.1	0	1	0	0
MT730940.1	0	1	2	66.14
HQ643693.1	0	7	0	99.89
MT554398.1	0	9	0	100
KY783351.1	0	2	1	62.67
MT730659.1	0	2	1	22.79
MG865476.1	0	1	1	100
EU167604.1	0	3	1	94.6
OL539743.1	0	3	3	0
HQ643515.2	0	1	4	19.98
MK212930.1	0	1	0	0
KF777149.1	0	2	1	28.05
KC584201.1	0	2	2	15.05
MG865481.1	0	1	0	100
MK442607.1	0	1	0	20.57
EF473864.1	0	1	0	74.88
HQ643671.2	0	1	4	21.06
LT990647.1	0	1	0	36.9
KC584233.1	0	1	0	100
MF795772.1	0	3	1	75
MG386056.1	0	1	1	0
HG931724.1	0	1	0	99.92
MT177265.1	0	3	0	19.16
KU175888.1	0	1	0	100
AY364838.1	0	4	5	22.96
HQ643408.2	0	2	0	71.63
MG865475.1	0	2	1	100
JQ031190.1	0	1	0	100
AY552328.1	0	5	3	98.14
HG977201.1	0	1	0	49.88
MT074263.1	0	1	1	99.87
LT592939.1	0	1	0	0
MG518642.1	0	1	0	100
EU520073.1	0	1	2	0
KY986679.1	0	2	2	99.99
KF156010.1	0	5	0	100
MG865477.1	0	1	0	100
GU237833.1	0	2	2	18.72
FM986798.1	0	2	0	91.82
MG865519.1	0	1	0	100
GU237734.1	0	1	0	0
GU237890.1	0	1	2	50.06
U34580.1	0	4	3	47.85
EU019250.2	0	2	1	66
KJ570693.1	0	1	1	64.28
HQ643373.2	0	2	2	73.86
GU237762.1	0	1	2	0
AF222850.1	0	2	2	40.2
HE792942.1	0	1	1	99.97
MG865573.1	0	1	0	100
AF444423.1	0	2	0	0
AF071332.1	0	1	0	99.68
Z99694.1	0	1	1	10.28
MF784742.1	0	1	0	100
MT730745.1	0	1	3	25
HQ643739.2	0	1	11	72.92
JN383493.1	0	1	1	49.96
MG865596.1	0	1	0	100
MH327825.1	0	1	0	0
HQ696658.1	0	1	0	0
MF795774.1	0	1	1	99.94
KY703619.1	0	1	6	46.38
MN973540.1	0	1	0	96.02
KM248770.1	0	1	0	0
AF444666.1	0	0	266	97.95
AB035046.1	0	0	477	98.14
FJ200221.1	0	0	4	56.08
MT588812.1	0	0	928	90.09
MW016403.1	0	0	3	99.73
MW709918.1	0	0	4	77.95
MK314552.1	0	0	2	10.28
KY979755.1	0	0	34	24.66
MH730810.1	0	0	2	0
OM959577.1	0	0	7	59.29
AF444399.1	0	0	22	91.28
MN450331.1	0	0	6	0
MG865473.1	0	0	1	99.99
AJ301940.1	0	0	1	100
MF795782.1	0	0	1	0
DQ830986.1	0	0	1	0
FN428919.1	0	0	8	8.55
JX910369.1	0	0	6	54.34
KU821452.1	0	0	1	0
MG564165.1	0	0	1	49.88
KP203864.1	0	0	24	92.31
LR583730.1	0	0	3	33.33
JQ897481.1	0	0	4	5.14
JF735308.1	0	0	1	92.06
MT730631.1	0	0	1	0
AB205377.1	0	0	3	0
HQ643570.1	0	0	1	100
MK473407.1	0	0	1	0
AY604526.1	0	0	1	0
GU237901.1	0	0	1	0
AJ491250.1	0	0	7	96.99
KF928459.1	0	0	7	100
MT215495.1	0	0	1	99.37
AY425656.1	0	0	1	100
GU237792.1	0	0	2	0
HQ643772.2	0	0	1	0
KX306775.1	0	0	1	98
MT734671.1	0	0	2	0
MH730803.1	0	0	1	0
U34582.1	0	0	2	0
HQ643757.2	0	0	1	93.69
HQ643854.2	0	0	1	0
KF499360.1	0	0	2	68.45
MW599273.1	0	0	1	100
MW173048.1	0	0	2	0
LC370337.1	0	0	1	100
LC485673.1	0	0	1	99.75
MH730811.1	0	0	1	0
AB915387.1	0	0	1	100
AB035045.1	0	0	1	99
AF294699.1	0	0	1	100
MH862560.1	0	0	1	90
MT731015.1	0	0	2	68.45
MG783380.1	0	0	1	87.41
AB205379.1	0	0	1	0
MG865466.1	0	0	1	100
MF795769.1	0	0	1	100
MT730833.1	0	0	1	100
MF795761.1	0	0	1	100
EU040234.1	0	0	1	20.57
KP322984.1	0	0	1	0
DQ780374.1	0	0	1	96.02
LR583793.1	0	0	1	20.57
ON231677.1	0	0	1	74.88
MN688821.1	0	0	1	100
KT215224.1	0	0	1	36.9
MF062203.1	0	0	1	90
MG865585.1	0	0	1	100
KM384107.1	0	0	1	100
MG865509.1	0	0	1	100
GU237775.1	0	0	1	0
