Accession	mock4	mock3	mock5	MappingConfidence
KU850565.1	27740	62841	32030	78.76
JQ936290.1	364	646	243	22.28
KU850546.1	156	332	211	6.28
KY883819.1	24	52	35	2.87
KR873250.1	55	52	358	88.37
AF347031.1	32934	84836	19511	99.99
MH860044.1	80619	111905	31783	50.59
DQ885385.1	12302	53780	29303	99.92
MH856435.1	14899	29949	7689	35.63
MK394004.1	2534	70069	16991	100
AY198298.3	0	4	6	87.79
MN784447.1	0	3	1	99.32
HQ643443.2	3	21	9	100
MH730799.1	0	9	4	99.19
HQ643444.1	9	33	9	99.92
MG865484.1	8	19	3	99.99
AY198300.3	12	270	26	95.44
MH730809.1	2	35	3	22.52
MH856176.1	50698	40188	25816	42.03
MG865574.1	37	163	95	99.76
EU049205.1	111	323	45	27.97
MG865593.1	21	44	9	98.9
MG865580.1	1	1	0	100
HQ643670.1	2	22	258	99.75
HQ643771.1	0	1	1	73.52
MG865559.1	11	30	5	95.31
MG865523.1	8	46	7	78.14
MH854739.1	1784	3554	1140	10.85
LC228670.1	464	1715	333	5.68
HQ643429.1	0	1	11	99.69
HQ643692.1	0	7	80	99.92
MG865576.1	10	41	12	99.59
MH461124.1	0	0	0	99.6
MW633475.1	55	81	89	66.72
MH855943.1	56143	73285	32556	93.2
AF314985.1	0	0	0	100
JN906978.1	21	9	92	48.61
MW709918.1	4	0	0	85.58
HQ643479.1	0	1	8	100
MH730805.1	2	18	1	20.43
MH730800.1	1	6	1	99.73
AY211016.1	1	2	0	52.53
KC584238.1	16	14	13	8.38
AY743636.1	0	38	613	98.2
MH656752.1	207	139	50	20.2
KY703619.1	6	0	1	34.41
MG564165.1	1	0	0	24.94
FJ790287.1	0	0	0	99.21
MZ531891.1	0	0	0	6.86
FJ427049.1	28	5	4	5.36
GU237890.1	2	0	1	15.61
GU237762.1	2	0	1	0
KY979755.1	34	0	0	23.88
KR183856.1	0	0	0	57.2
AF444441.1	0	0	0	52.53
MG865508.1	4	12	1	76.83
MG865599.1	0	5	4	100
HQ643137.1	4	12	3	94.09
KT600411.1	0	0	0	29.49
AY198293.3	0	1	0	100
HQ643570.1	1	0	0	100
HQ643945.1	0	3	6	100
MW599272.1	0	2	0	55.14
AY198246.3	3	17	4	98.93
HQ643721.2	3	13	10	100
KC287235.1	0	8	0	100
MG865566.1	0	1	0	100
MG865504.1	0	0	0	100
AY198240.3	0	2	0	100
KJ443356.1	0	0	0	0
FJ427003.1	0	0	0	0
MG865518.1	0	2	0	100
HQ643518.2	1	6	6	75.54
OM778769.1	1	4	23	99.65
HQ643681.2	2	7	6	90.27
HQ643773.2	4	6	1	64.51
MG865466.1	1	0	0	100
HQ643752.1	0	0	9	99.99
AF222850.1	2	0	2	51.22
JN865210.1	4	1	15	40.87
JQ781877.1	0	0	0	0
MG865575.1	1	4	2	100
Z99672.1	280	1514	296	11.48
MN244198.1	2	1	1	9.07
MW015778.1	0	3	80	99.93
MG865578.1	0	1	1	40.19
HQ643396.2	11	5	3	16.56
MH730806.1	0	0	0	100
GU237795.1	0	0	0	0
MG783381.1	0	4	2	100
MG865569.1	0	0	0	100
JQ897481.1	4	0	0	1.47
AY211019.1	0	0	0	100
MW599273.1	1	0	0	50
AY198301.3	0	1	0	100
HQ643956.2	4	10	0	85.71
MG865520.1	2	8	2	79.38
